holiday,date,firstobs,firstproc
Good Friday,1945-03-30,1583,1583
April Fools’ Day,1945-04-01,1564,1564
Easter Sunday,1945-04-01,30,30
Easter Monday,1945-04-02,1583,1583
ANZAC Day,1945-04-25,1915,1915
Cinco de Mayo,1945-05-05,1809,1809
Mother’s Day,1945-05-13,1907,1907
Victoria Day,1945-05-24,1837,1845
Memorial Day,1945-05-28,1868,1868
Father’s Day,1945-06-17,1910,1910
Summer Solstice,1945-06-21,-10000,-10000
St. Jean-Baptiste Day,1945-06-24,1638,1638
Canada Day,1945-07-02,1867,1867
Independence Day,1945-07-04,1776,1776
Utah Pioneer Day,1945-07-24,1847,1847
Daylight Saving Time Start,1945-08-02,1916,1916
Canadian Labour Day,1945-09-03,1884,1884
American Labor Day,1945-09-03,1882,1882
Autumnal Equinox,1945-09-23,-10000,-10000
Daylight Saving Time End,1945-09-30,1916,1916
Canadian Thanksgiving,1945-10-08,1700,1700
Columbus Day,1945-10-12,1905,1905
Creationism Day,1945-10-23,-4004,-4004
Halloween,1945-10-31,-2000,-2000
Remembrance Day,1945-11-11,1918,1931
Veterans Day,1945-11-11,1918,1938
American Thanksgiving,1945-11-22,1621,1621
St. Andrews Day,1945-11-30,732,732
Winter Solstice,1945-12-22,-10000,-10000
Christmas Eve,1945-12-24,1,1
Christmas in UK and Canada,1945-12-25,1,1
Christmas in the USA,1945-12-25,1,1
Boxing Day in UK and Canada,1945-12-26,1,1
New Year’s Eve,1945-12-31,-154,-154
New Year’s Day,1946-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1946-01-25,1759,1759
Australia Day,1946-01-26,1804,1804
Groundhog Day,1946-02-02,1841,1841
Lincoln’s Birthday,1946-02-12,1809,1809
Valentine’s Day,1946-02-14,200,200
Alberta Family Day,1946-02-18,1900,1900
Washington’s Birthday,1946-02-18,1796,1796
Mardi Gras,1946-03-05,1583,1583
Ash Wednesday,1946-03-06,1583,1583
St. Patrick’s day,1946-03-17,400,400
Vernal Equinox,1946-03-21,-10000,-10000
April Fools’ Day,1946-04-01,1564,1564
Palm Sunday,1946-04-14,1583,1583
Good Friday,1946-04-19,1583,1583
Easter Sunday,1946-04-21,30,30
Easter Monday,1946-04-22,1583,1583
ANZAC Day,1946-04-25,1915,1915
Daylight Saving Time Start,1946-04-28,1916,1916
Cinco de Mayo,1946-05-05,1809,1809
Mother’s Day,1946-05-12,1907,1907
Victoria Day,1946-05-24,1837,1845
Memorial Day,1946-05-27,1868,1868
Father’s Day,1946-06-16,1910,1910
Summer Solstice,1946-06-22,-10000,-10000
St. Jean-Baptiste Day,1946-06-24,1638,1638
Canada Day,1946-07-01,1867,1867
Independence Day,1946-07-04,1776,1776
Utah Pioneer Day,1946-07-24,1847,1847
Canadian Labour Day,1946-09-02,1884,1884
American Labor Day,1946-09-02,1882,1882
Autumnal Equinox,1946-09-23,-10000,-10000
Daylight Saving Time End,1946-09-29,1916,1916
Columbus Day,1946-10-12,1905,1905
Canadian Thanksgiving,1946-10-14,1700,1700
Creationism Day,1946-10-23,-4004,-4004
Halloween,1946-10-31,-2000,-2000
General Election Day,1946-11-05,1789,1789
Remembrance Day,1946-11-11,1918,1931
Veterans Day,1946-11-11,1918,1938
American Thanksgiving,1946-11-28,1621,1621
St. Andrews Day,1946-11-30,732,732
Winter Solstice,1946-12-22,-10000,-10000
Christmas Eve,1946-12-24,1,1
Christmas in UK and Canada,1946-12-25,1,1
Christmas in the USA,1946-12-25,1,1
Boxing Day in UK and Canada,1946-12-26,1,1
New Year’s Eve,1946-12-31,-154,-154
New Year’s Day,1947-01-01,-153,-153
US Congressional Start Day,1947-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1947-01-25,1759,1759
Australia Day,1947-01-26,1804,1804
Groundhog Day,1947-02-02,1841,1841
Lincoln’s Birthday,1947-02-12,1809,1809
Valentine’s Day,1947-02-14,200,200
Alberta Family Day,1947-02-17,1900,1900
Washington’s Birthday,1947-02-17,1796,1796
Mardi Gras,1947-02-18,1583,1583
Ash Wednesday,1947-02-19,1583,1583
St. Patrick’s day,1947-03-17,400,400
Vernal Equinox,1947-03-21,-10000,-10000
Palm Sunday,1947-03-30,1583,1583
April Fools’ Day,1947-04-01,1564,1564
Good Friday,1947-04-04,1583,1583
Easter Sunday,1947-04-06,30,30
Easter Monday,1947-04-07,1583,1583
ANZAC Day,1947-04-25,1915,1915
Daylight Saving Time Start,1947-04-27,1916,1916
Cinco de Mayo,1947-05-05,1809,1809
Mother’s Day,1947-05-11,1907,1907
Victoria Day,1947-05-24,1837,1845
Memorial Day,1947-05-26,1868,1868
Father’s Day,1947-06-15,1910,1910
Summer Solstice,1947-06-22,-10000,-10000
St. Jean-Baptiste Day,1947-06-24,1638,1638
Canada Day,1947-07-01,1867,1867
Independence Day,1947-07-04,1776,1776
Utah Pioneer Day,1947-07-24,1847,1847
Canadian Labour Day,1947-09-01,1884,1884
American Labor Day,1947-09-01,1882,1882
Autumnal Equinox,1947-09-23,-10000,-10000
Daylight Saving Time End,1947-09-28,1916,1916
Columbus Day,1947-10-12,1905,1905
Canadian Thanksgiving,1947-10-13,1700,1700
Creationism Day,1947-10-23,-4004,-4004
Halloween,1947-10-31,-2000,-2000
Remembrance Day,1947-11-11,1918,1931
Veterans Day,1947-11-11,1918,1938
American Thanksgiving,1947-11-27,1621,1621
St. Andrews Day,1947-11-30,732,732
Winter Solstice,1947-12-22,-10000,-10000
Christmas Eve,1947-12-24,1,1
Christmas in UK and Canada,1947-12-25,1,1
Christmas in the USA,1947-12-25,1,1
Boxing Day in UK and Canada,1947-12-26,1,1
New Year’s Eve,1947-12-31,-154,-154
New Year’s Day,1948-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1948-01-25,1759,1759
Australia Day,1948-01-26,1804,1804
Groundhog Day,1948-02-02,1841,1841
Mardi Gras,1948-02-10,1583,1583
Ash Wednesday,1948-02-11,1583,1583
Lincoln’s Birthday,1948-02-12,1809,1809
Valentine’s Day,1948-02-14,200,200
Alberta Family Day,1948-02-16,1900,1900
Washington’s Birthday,1948-02-16,1796,1796
St. Patrick’s day,1948-03-17,400,400
Vernal Equinox,1948-03-20,-10000,-10000
Palm Sunday,1948-03-21,1583,1583
Good Friday,1948-03-26,1583,1583
Easter Sunday,1948-03-28,30,30
Easter Monday,1948-03-29,1583,1583
April Fools’ Day,1948-04-01,1564,1564
Daylight Saving Time Start,1948-04-25,1916,1916
ANZAC Day,1948-04-25,1915,1915
Cinco de Mayo,1948-05-05,1809,1809
Mother’s Day,1948-05-09,1907,1907
Victoria Day,1948-05-24,1837,1845
Memorial Day,1948-05-31,1868,1868
Father’s Day,1948-06-20,1910,1910
Summer Solstice,1948-06-21,-10000,-10000
St. Jean-Baptiste Day,1948-06-24,1638,1638
Canada Day,1948-07-01,1867,1867
Independence Day,1948-07-04,1776,1776
Utah Pioneer Day,1948-07-24,1847,1847
Canadian Labour Day,1948-09-06,1884,1884
American Labor Day,1948-09-06,1882,1882
Autumnal Equinox,1948-09-23,-10000,-10000
Daylight Saving Time End,1948-09-26,1916,1916
Canadian Thanksgiving,1948-10-11,1700,1700
Columbus Day,1948-10-12,1905,1905
Creationism Day,1948-10-23,-4004,-4004
Halloween,1948-10-31,-2000,-2000
General Election Day,1948-11-02,1789,1789
Remembrance Day,1948-11-11,1918,1931
Veterans Day,1948-11-11,1918,1938
American Thanksgiving,1948-11-25,1621,1621
St. Andrews Day,1948-11-30,732,732
Winter Solstice,1948-12-21,-10000,-10000
Christmas Eve,1948-12-24,1,1
Christmas in UK and Canada,1948-12-25,1,1
Christmas in the USA,1948-12-25,1,1
Boxing Day in UK and Canada,1948-12-26,1,1
New Year’s Eve,1948-12-31,-154,-154
New Year’s Day,1949-01-01,-153,-153
US Congressional Start Day,1949-01-03,1789,1789
US Presidential Inauguration Day,1949-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1949-01-25,1759,1759
Australia Day,1949-01-26,1804,1804
Groundhog Day,1949-02-02,1841,1841
Lincoln’s Birthday,1949-02-12,1809,1809
Valentine’s Day,1949-02-14,200,200
Alberta Family Day,1949-02-21,1900,1900
Washington’s Birthday,1949-02-21,1796,1796
Mardi Gras,1949-03-01,1583,1583
Ash Wednesday,1949-03-02,1583,1583
St. Patrick’s day,1949-03-17,400,400
Vernal Equinox,1949-03-20,-10000,-10000
April Fools’ Day,1949-04-01,1564,1564
Palm Sunday,1949-04-10,1583,1583
Good Friday,1949-04-15,1583,1583
Easter Sunday,1949-04-17,30,30
Easter Monday,1949-04-18,1583,1583
Daylight Saving Time Start,1949-04-24,1916,1916
ANZAC Day,1949-04-25,1915,1915
Cinco de Mayo,1949-05-05,1809,1809
Mother’s Day,1949-05-08,1907,1907
Victoria Day,1949-05-24,1837,1845
Memorial Day,1949-05-30,1868,1868
Father’s Day,1949-06-19,1910,1910
Summer Solstice,1949-06-21,-10000,-10000
St. Jean-Baptiste Day,1949-06-24,1638,1638
Canada Day,1949-07-01,1867,1867
Independence Day,1949-07-04,1776,1776
Utah Pioneer Day,1949-07-24,1847,1847
Canadian Labour Day,1949-09-05,1884,1884
American Labor Day,1949-09-05,1882,1882
Autumnal Equinox,1949-09-23,-10000,-10000
Daylight Saving Time End,1949-09-25,1916,1916
Canadian Thanksgiving,1949-10-10,1700,1700
Columbus Day,1949-10-12,1905,1905
Creationism Day,1949-10-23,-4004,-4004
Halloween,1949-10-31,-2000,-2000
Remembrance Day,1949-11-11,1918,1931
Veterans Day,1949-11-11,1918,1938
American Thanksgiving,1949-11-24,1621,1621
St. Andrews Day,1949-11-30,732,732
Winter Solstice,1949-12-22,-10000,-10000
Christmas Eve,1949-12-24,1,1
Christmas in UK and Canada,1949-12-25,1,1
Christmas in the USA,1949-12-25,1,1
Boxing Day in UK and Canada,1949-12-26,1,1
New Year’s Eve,1949-12-31,-154,-154
New Year’s Day,1950-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1950-01-25,1759,1759
Australia Day,1950-01-26,1804,1804
Groundhog Day,1950-02-02,1841,1841
Lincoln’s Birthday,1950-02-12,1809,1809
Valentine’s Day,1950-02-14,200,200
Alberta Family Day,1950-02-20,1900,1900
Washington’s Birthday,1950-02-20,1796,1796
Mardi Gras,1950-02-21,1583,1583
Ash Wednesday,1950-02-22,1583,1583
St. Patrick’s day,1950-03-17,400,400
Vernal Equinox,1950-03-21,-10000,-10000
April Fools’ Day,1950-04-01,1564,1564
Palm Sunday,1950-04-02,1583,1583
Good Friday,1950-04-07,1583,1583
Easter Sunday,1950-04-09,30,30
Easter Monday,1950-04-10,1583,1583
ANZAC Day,1950-04-25,1915,1915
Daylight Saving Time Start,1950-04-30,1916,1916
Cinco de Mayo,1950-05-05,1809,1809
Europe Day,1950-05-09,1950,1950
Mother’s Day,1950-05-14,1907,1907
Armed Forces Day,1950-05-20,1936,1950
Victoria Day,1950-05-24,1837,1845
Memorial Day,1950-05-29,1868,1868
Father’s Day,1950-06-18,1910,1910
Summer Solstice,1950-06-21,-10000,-10000
St. Jean-Baptiste Day,1950-06-24,1638,1638
Canada Day,1950-07-01,1867,1867
Independence Day,1950-07-04,1776,1776
Utah Pioneer Day,1950-07-24,1847,1847
Canadian Labour Day,1950-09-04,1884,1884
American Labor Day,1950-09-04,1882,1882
Autumnal Equinox,1950-09-23,-10000,-10000
Daylight Saving Time End,1950-09-24,1916,1916
Canadian Thanksgiving,1950-10-09,1700,1700
Columbus Day,1950-10-12,1905,1905
Creationism Day,1950-10-23,-4004,-4004
Halloween,1950-10-31,-2000,-2000
General Election Day,1950-11-07,1789,1789
Remembrance Day,1950-11-11,1918,1931
Veterans Day,1950-11-11,1918,1938
American Thanksgiving,1950-11-23,1621,1621
St. Andrews Day,1950-11-30,732,732
Human Rights Day,1950-12-10,1950,1950
Winter Solstice,1950-12-22,-10000,-10000
Christmas Eve,1950-12-24,1,1
Christmas in UK and Canada,1950-12-25,1,1
Christmas in the USA,1950-12-25,1,1
Boxing Day in UK and Canada,1950-12-26,1,1
New Year’s Eve,1950-12-31,-154,-154
New Year’s Day,1951-01-01,-153,-153
US Congressional Start Day,1951-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1951-01-25,1759,1759
Australia Day,1951-01-26,1804,1804
Groundhog Day,1951-02-02,1841,1841
Mardi Gras,1951-02-06,1583,1583
Ash Wednesday,1951-02-07,1583,1583
Lincoln’s Birthday,1951-02-12,1809,1809
Valentine’s Day,1951-02-14,200,200
Alberta Family Day,1951-02-19,1900,1900
Washington’s Birthday,1951-02-19,1796,1796
St. Patrick’s day,1951-03-17,400,400
Palm Sunday,1951-03-18,1583,1583
Vernal Equinox,1951-03-21,-10000,-10000
Good Friday,1951-03-23,1583,1583
Easter Sunday,1951-03-25,30,30
Easter Monday,1951-03-26,1583,1583
April Fools’ Day,1951-04-01,1564,1564
ANZAC Day,1951-04-25,1915,1915
Daylight Saving Time Start,1951-04-29,1916,1916
Cinco de Mayo,1951-05-05,1809,1809
Europe Day,1951-05-09,1950,1950
Mother’s Day,1951-05-13,1907,1907
Armed Forces Day,1951-05-19,1936,1950
Victoria Day,1951-05-24,1837,1845
Memorial Day,1951-05-28,1868,1868
Father’s Day,1951-06-17,1910,1910
Summer Solstice,1951-06-22,-10000,-10000
St. Jean-Baptiste Day,1951-06-24,1638,1638
Canada Day,1951-07-02,1867,1867
Independence Day,1951-07-04,1776,1776
Utah Pioneer Day,1951-07-24,1847,1847
Canadian Labour Day,1951-09-03,1884,1884
American Labor Day,1951-09-03,1882,1882
Autumnal Equinox,1951-09-23,-10000,-10000
Daylight Saving Time End,1951-09-30,1916,1916
Canadian Thanksgiving,1951-10-08,1700,1700
Columbus Day,1951-10-12,1905,1905
Creationism Day,1951-10-23,-4004,-4004
Halloween,1951-10-31,-2000,-2000
Remembrance Day,1951-11-11,1918,1931
Veterans Day,1951-11-11,1918,1938
American Thanksgiving,1951-11-22,1621,1621
St. Andrews Day,1951-11-30,732,732
Human Rights Day,1951-12-10,1950,1950
Winter Solstice,1951-12-22,-10000,-10000
Christmas Eve,1951-12-24,1,1
Christmas in UK and Canada,1951-12-25,1,1
Christmas in the USA,1951-12-25,1,1
Boxing Day in UK and Canada,1951-12-26,1,1
New Year’s Eve,1951-12-31,-154,-154
New Year’s Day,1952-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1952-01-25,1759,1759
Australia Day,1952-01-26,1804,1804
Groundhog Day,1952-02-02,1841,1841
Lincoln’s Birthday,1952-02-12,1809,1809
Valentine’s Day,1952-02-14,200,200
Alberta Family Day,1952-02-18,1900,1900
Washington’s Birthday,1952-02-18,1796,1796
Mardi Gras,1952-02-26,1583,1583
Ash Wednesday,1952-02-27,1583,1583
St. Patrick’s day,1952-03-17,400,400
Vernal Equinox,1952-03-20,-10000,-10000
April Fools’ Day,1952-04-01,1564,1564
Palm Sunday,1952-04-06,1583,1583
Good Friday,1952-04-11,1583,1583
Easter Sunday,1952-04-13,30,30
Easter Monday,1952-04-14,1583,1583
ANZAC Day,1952-04-25,1915,1915
Daylight Saving Time Start,1952-04-27,1916,1916
Cinco de Mayo,1952-05-05,1809,1809
Europe Day,1952-05-09,1950,1950
Mother’s Day,1952-05-11,1907,1907
Armed Forces Day,1952-05-17,1936,1950
Victoria Day,1952-05-19,1837,1845
Memorial Day,1952-05-26,1868,1868
Father’s Day,1952-06-15,1910,1910
Summer Solstice,1952-06-21,-10000,-10000
St. Jean-Baptiste Day,1952-06-24,1638,1638
Canada Day,1952-07-01,1867,1867
Independence Day,1952-07-04,1776,1776
Utah Pioneer Day,1952-07-24,1847,1847
Canadian Labour Day,1952-09-01,1884,1884
American Labor Day,1952-09-01,1882,1882
Autumnal Equinox,1952-09-23,-10000,-10000
Daylight Saving Time End,1952-09-28,1916,1916
Columbus Day,1952-10-12,1905,1905
Canadian Thanksgiving,1952-10-13,1700,1700
Creationism Day,1952-10-23,-4004,-4004
Halloween,1952-10-31,-2000,-2000
General Election Day,1952-11-04,1789,1789
Remembrance Day,1952-11-11,1918,1931
Veterans Day,1952-11-11,1918,1938
American Thanksgiving,1952-11-27,1621,1621
St. Andrews Day,1952-11-30,732,732
Human Rights Day,1952-12-10,1950,1950
Winter Solstice,1952-12-21,-10000,-10000
Christmas Eve,1952-12-24,1,1
Christmas in UK and Canada,1952-12-25,1,1
Christmas in the USA,1952-12-25,1,1
Boxing Day in UK and Canada,1952-12-26,1,1
New Year’s Eve,1952-12-31,-154,-154
New Year’s Day,1953-01-01,-153,-153
US Congressional Start Day,1953-01-03,1789,1789
US Presidential Inauguration Day,1953-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1953-01-25,1759,1759
Australia Day,1953-01-26,1804,1804
Groundhog Day,1953-02-02,1841,1841
Lincoln’s Birthday,1953-02-12,1809,1809
Valentine’s Day,1953-02-14,200,200
Alberta Family Day,1953-02-16,1900,1900
Washington’s Birthday,1953-02-16,1796,1796
Mardi Gras,1953-02-17,1583,1583
Ash Wednesday,1953-02-18,1583,1583
St. Patrick’s day,1953-03-17,400,400
Vernal Equinox,1953-03-20,-10000,-10000
Palm Sunday,1953-03-29,1583,1583
April Fools’ Day,1953-04-01,1564,1564
Good Friday,1953-04-03,1583,1583
Easter Sunday,1953-04-05,30,30
Easter Monday,1953-04-06,1583,1583
ANZAC Day,1953-04-25,1915,1915
Daylight Saving Time Start,1953-04-26,1916,1916
Cinco de Mayo,1953-05-05,1809,1809
Europe Day,1953-05-09,1950,1950
Mother’s Day,1953-05-10,1907,1907
Armed Forces Day,1953-05-16,1936,1950
Victoria Day,1953-05-18,1837,1845
Memorial Day,1953-05-25,1868,1868
Australian Queen’s Birthday,1953-06-08,1953,1953
Father’s Day,1953-06-21,1910,1910
Summer Solstice,1953-06-21,-10000,-10000
St. Jean-Baptiste Day,1953-06-24,1638,1638
Canada Day,1953-07-01,1867,1867
Independence Day,1953-07-04,1776,1776
Utah Pioneer Day,1953-07-24,1847,1847
Canadian Labour Day,1953-09-07,1884,1884
American Labor Day,1953-09-07,1882,1882
Autumnal Equinox,1953-09-23,-10000,-10000
Daylight Saving Time End,1953-09-27,1916,1916
Canadian Thanksgiving,1953-10-12,1700,1700
Columbus Day,1953-10-12,1905,1905
Creationism Day,1953-10-23,-4004,-4004
Halloween,1953-10-31,-2000,-2000
Remembrance Day,1953-11-11,1918,1931
Veterans Day,1953-11-11,1918,1938
American Thanksgiving,1953-11-26,1621,1621
St. Andrews Day,1953-11-30,732,732
Human Rights Day,1953-12-10,1950,1950
Winter Solstice,1953-12-22,-10000,-10000
Christmas Eve,1953-12-24,1,1
Christmas in UK and Canada,1953-12-25,1,1
Christmas in the USA,1953-12-25,1,1
Boxing Day in UK and Canada,1953-12-26,1,1
New Year’s Eve,1953-12-31,-154,-154
New Year’s Day,1954-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1954-01-25,1759,1759
Australia Day,1954-01-26,1804,1804
Groundhog Day,1954-02-02,1841,1841
Lincoln’s Birthday,1954-02-12,1809,1809
Valentine’s Day,1954-02-14,200,200
Alberta Family Day,1954-02-15,1900,1900
Washington’s Birthday,1954-02-15,1796,1796
Mardi Gras,1954-03-02,1583,1583
Ash Wednesday,1954-03-03,1583,1583
St. Patrick’s day,1954-03-17,400,400
Vernal Equinox,1954-03-21,-10000,-10000
April Fools’ Day,1954-04-01,1564,1564
Palm Sunday,1954-04-11,1583,1583
Good Friday,1954-04-16,1583,1583
Easter Sunday,1954-04-18,30,30
Easter Monday,1954-04-19,1583,1583
Daylight Saving Time Start,1954-04-25,1916,1916
ANZAC Day,1954-04-25,1915,1915
Cinco de Mayo,1954-05-05,1809,1809
Europe Day,1954-05-09,1950,1950
Mother’s Day,1954-05-09,1907,1907
Armed Forces Day,1954-05-15,1936,1950
Victoria Day,1954-05-24,1837,1845
Memorial Day,1954-05-31,1868,1868
Australian Queen’s Birthday,1954-06-14,1953,1953
Father’s Day,1954-06-20,1910,1910
Summer Solstice,1954-06-21,-10000,-10000
St. Jean-Baptiste Day,1954-06-24,1638,1638
Canada Day,1954-07-01,1867,1867
Independence Day,1954-07-04,1776,1776
Utah Pioneer Day,1954-07-24,1847,1847
Canadian Labour Day,1954-09-06,1884,1884
American Labor Day,1954-09-06,1882,1882
Autumnal Equinox,1954-09-23,-10000,-10000
Daylight Saving Time End,1954-09-26,1916,1916
Canadian Thanksgiving,1954-10-11,1700,1700
Columbus Day,1954-10-12,1905,1905
Creationism Day,1954-10-23,-4004,-4004
Halloween,1954-10-31,-2000,-2000
General Election Day,1954-11-02,1789,1789
Remembrance Day,1954-11-11,1918,1931
Veterans Day,1954-11-11,1918,1938
American Thanksgiving,1954-11-25,1621,1621
St. Andrews Day,1954-11-30,732,732
Human Rights Day,1954-12-10,1950,1950
Winter Solstice,1954-12-22,-10000,-10000
Christmas Eve,1954-12-24,1,1
Christmas in UK and Canada,1954-12-25,1,1
Christmas in the USA,1954-12-25,1,1
Boxing Day in UK and Canada,1954-12-26,1,1
New Year’s Eve,1954-12-31,-154,-154
New Year’s Day,1955-01-01,-153,-153
US Congressional Start Day,1955-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1955-01-25,1759,1759
Australia Day,1955-01-26,1804,1804
Groundhog Day,1955-02-02,1841,1841
Lincoln’s Birthday,1955-02-12,1809,1809
Valentine’s Day,1955-02-14,200,200
Alberta Family Day,1955-02-21,1900,1900
Washington’s Birthday,1955-02-21,1796,1796
Mardi Gras,1955-02-22,1583,1583
Ash Wednesday,1955-02-23,1583,1583
St. Patrick’s day,1955-03-17,400,400
Vernal Equinox,1955-03-21,-10000,-10000
April Fools’ Day,1955-04-01,1564,1564
Palm Sunday,1955-04-03,1583,1583
Good Friday,1955-04-08,1583,1583
Easter Sunday,1955-04-10,30,30
Easter Monday,1955-04-11,1583,1583
Daylight Saving Time Start,1955-04-24,1916,1916
ANZAC Day,1955-04-25,1915,1915
Cinco de Mayo,1955-05-05,1809,1809
Mother’s Day,1955-05-08,1907,1907
Europe Day,1955-05-09,1950,1950
Armed Forces Day,1955-05-21,1936,1950
Victoria Day,1955-05-23,1837,1845
